"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1","time","disto"
"3637","303 SERANGOON AVE 2",1.35349356621383,103.867045529778,162,"Lorong Chuan",1.35161217074555,103.864151938651,384.138602306661,391,543
"3638","303 SHUNFU RD",1.34976942860988,103.83847650474,102,"Marymount",1.348707263451,103.839423132332,158.363539154714,186,258
"3639","303 TAMPINES ST 32",1.35199362514162,103.955873185179,57,"Tampines East",1.35619148271544,103.9546344625,487.213062206902,469,651
"3640","303 WOODLANDS ST 31",1.43095103050767,103.773761569498,31,"Marsiling",1.43252114855026,103.774074641403,178.223286833086,222,308
"3641","303 YISHUN CTRL",1.43026863874417,103.840067166013,167,"Yishun",1.42944308477331,103.835005047246,570.783892562596,546,758
"3642","303A ANCHORVALE LINK",1.38707886249558,103.890776480517,70,"Buangkok",1.38287001971672,103.893122569706,536.362173430508,599,832
"3643","303A PUNGGOL CTRL",1.40377788597736,103.90576220718,38,"Punggol",1.41492733388605,103.910166388177,1334.41968541379,1051,1459
"3644","303B ANCHORVALE LINK",1.38742376759553,103.889848758135,122,"Buangkok",1.38287001971672,103.893122569706,624.265165291869,677,940
"3645","303B PUNGGOL CTRL",1.40391687264544,103.905531342934,32,"Punggol",1.41492733388605,103.910166388177,1329.79462349114,1052,1461
"3646","303C ANCHORVALE LINK",1.38759793773653,103.890220332665,101,"Buangkok",1.38287001971672,103.893122569706,617.50985725447,671,933
"3647","303C PUNGGOL CTRL",1.4040520620826,103.905300204384,23,"Punggol",1.41492733388605,103.910166388177,1326.23031735305,1080,1499
"3648","303D PUNGGOL PL",1.40423864727245,103.905014998816,22,"Punggol",1.41492733388605,103.910166388177,1320.76142948767,1102,1530
"3649","304 ANG MO KIO AVE 1",1.36628642816469,103.844994760928,111,"Ang Mo Kio",1.36993284962262,103.84955809232,650.133580113435,687,954
"3650","304 BT BATOK ST 31",1.357471521421,103.747948828709,181,"Bukit Gombak",1.35861159094192,103.751790910733,446.01569661073,448,623
