"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1"
"8260","721 WOODLANDS CIRCLE",1.44398935063641,103.800333931864,103,"Admiralty",1.44058856161847,103.800990519771,385.560974299741
"8261","721 YISHUN ST 71",1.42610183391787,103.828966740535,160,"Yishun",1.42944308477331,103.835005047246,768.043730261646
"8262","722 ANG MO KIO AVE 8",1.37224394036323,103.847529279223,4,"Ang Mo Kio",1.36993284962262,103.84955809232,342.293702486017
"8263","722 BEDOK RESERVOIR RD",1.33663699329345,103.928207774481,155,"Bedok Reservoir",1.33660782955099,103.932234623286,448.15654590319
"8264","722 CLEMENTI WEST ST 2",1.30291359271021,103.763759578355,4,"Clementi",1.31511625277378,103.765191452888,1367.7089164247
"8265","722 JURONG WEST AVE 5",1.34364538956412,103.69827338457,95,"Pioneer",1.33758701106708,103.697321608474,682.682893196556
"8266","722 PASIR RIS ST 72",1.38096375170476,103.9368903039,32,"Pasir Ris",1.37304331635804,103.949284527763,1637.04525566709
"8267","722 TAMPINES ST 72",1.35989254496234,103.935859341782,111,"Tampines",1.34551530560119,103.938436971222,1625.97152857693
"8268","722 WOODLANDS AVE 6",1.44554843131894,103.799404524681,124,"Admiralty",1.44058856161847,103.800990519771,579.653881504981
"8269","722 YISHUN ST 71",1.42566715797556,103.829016104284,215,"Yishun",1.42944308477331,103.835005047246,787.956437713772
"8270","723 BEDOK RESERVOIR RD",1.33695439373089,103.928960561768,126,"Bedok Reservoir",1.33660782955099,103.932234623286,366.404371075752
"8271","723 CLEMENTI WEST ST 2",1.30310124001611,103.763413053663,99,"Clementi",1.31511625277378,103.765191452888,1352.0694356158
"8272","723 JURONG WEST AVE 5",1.344465010852,103.698164448697,80,"Pioneer",1.33758701106708,103.697321608474,771.379586733303
"8273","723 PASIR RIS ST 72",1.38068071053619,103.936596173117,42,"Pasir Ris",1.37304331635804,103.949284527763,1648.24729692035
"8274","723 TAMPINES ST 72",1.35992057153678,103.935128203307,96,"Tampines",1.34551530560119,103.938436971222,1645.3213944836
"8275","723 WOODLANDS AVE 6",1.44537252441166,103.798967848103,96,"Admiralty",1.44058856161847,103.800990519771,578.164182473628
"8276","723 YISHUN ST 71",1.4259620249781,103.829779474265,132,"Yishun",1.42944308477331,103.835005047246,698.811938388843
"8277","724 BEDOK RESERVOIR RD",1.33714403979137,103.928433830286,135,"Bedok Reservoir",1.33660782955099,103.932234623286,427.178092195954
"8278","724 CLEMENTI WEST ST 2",1.30360871033936,103.763359143047,92,"Clementi",1.31511625277378,103.765191452888,1297.14264220714
"8279","724 JURONG WEST ST 72",1.34504744920415,103.698147806019,77,"Pioneer",1.33758701106708,103.697321608474,835.56654162234
"8280","724 PASIR RIS ST 72",1.3809343990191,103.936234669952,60,"Pasir Ris",1.37304331635804,103.949284527763,1697.2832462728
"8281","724 TAMPINES ST 71",1.35684229419395,103.934951160364,147,"Tampines",1.34551530560119,103.938436971222,1319.24066595006
"8282","724 WOODLANDS AVE 6",1.44466656494325,103.798713043181,95,"Admiralty",1.44058856161847,103.800990519771,519.919503671057
"8283","724 YISHUN ST 71",1.42647481851247,103.82991593847,137,"Yishun",1.42944308477331,103.835005047246,655.685495897635
"8284","725 ANG MO KIO AVE 6",1.37279081671095,103.846911241497,69,"Ang Mo Kio",1.36993284962262,103.84955809232,433.571660499768
"8285","725 BEDOK RESERVOIR RD",1.33764586553964,103.928990816937,134,"Bedok Reservoir",1.33660782955099,103.932234623286,379.043579766135
"8286","725 JURONG WEST AVE 5",1.34545354960101,103.697719623836,133,"Pioneer",1.33758701106708,103.697321608474,876.818608960231
"8287","725 PASIR RIS ST 72",1.38118702553862,103.935844067253,82,"Pasir Ris",1.37304331635804,103.949284527763,1749.03305072552
"8288","725 TAMPINES ST 71",1.35698450686671,103.935334502197,117,"Tampines",1.34551530560119,103.938436971222,1322.60738053751
"8289","725 WOODLANDS AVE 6",1.44435697271584,103.799119701865,86,"Admiralty",1.44058856161847,103.800990519771,468.318649348075
"8290","725 YISHUN ST 71",1.42695615059654,103.830709989693,216,"Yishun",1.42944308477331,103.835005047246,552.361223315514
"8291","726 JURONG WEST AVE 5",1.3459430568526,103.697134589327,99,"Pioneer",1.33758701106708,103.697321608474,930.423581739811
"8292","726 TAMPINES ST 71",1.35698439301277,103.935887361779,111,"Tampines",1.34551530560119,103.938436971222,1307.88255201611
"8293","726 WOODLANDS CIRCLE",1.44427656207237,103.799681444987,115,"Admiralty",1.44058856161847,103.800990519771,435.626867196545
"8294","726 YISHUN ST 71",1.4265362136527,103.830668784342,207,"Yishun",1.42944308477331,103.835005047246,581.013079308773
"8295","727 ANG MO KIO AVE 6",1.37299031596651,103.846012559319,5,"Ang Mo Kio",1.36993284962262,103.84955809232,521.08585325804
"8296","727 CLEMENTI WEST ST 2",1.30413678048377,103.76381785742,1,"Clementi",1.31511625277378,103.765191452888,1231.75200514648
"8297","727 JURONG WEST AVE 5",1.34578289547379,103.697658651819,117,"Pioneer",1.33758701106708,103.697321608474,913.132396468501
"8298","727 TAMPINES ST 71",1.3563134994008,103.935483915221,78,"Tampines",1.34551530560119,103.938436971222,1246.16530282683
"8299","727 WOODLANDS CIRCLE",1.44367879146851,103.799836033871,87,"Admiralty",1.44058856161847,103.800990519771,367.211161970447
